Date,Store ID,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
01-01-2022,S002,Rainy,0,65.57,Winter
01-01-2022,S002,Cloudy,0,59.79,Winter
01-01-2022,S002,Sunny,0,98.21,Winter
01-01-2022,S002,Cloudy,0,63.13,Winter
01-01-2022,S002,Sunny,0,88.83,Winter
01-01-2022,S002,Cloudy,0,39.32,Winter
01-01-2022,S002,Rainy,1,38.89,Winter
01-01-2022,S002,Cloudy,0,37.11,Winter
01-01-2022,S002,Sunny,1,51.89,Winter
01-01-2022,S002,Snowy,0,19.87,Winter
01-01-2022,S002,Snowy,0,75.05,Winter
01-01-2022,S002,Rainy,0,85.26,Winter
01-01-2022,S003,Snowy,0,58.61,Winter
01-01-2022,S003,Sunny,0,54.18,Winter
01-01-2022,S003,Snowy,0,74.7,Winter
01-01-2022,S003,Sunny,1,15.27,Winter
01-01-2022,S003,Cloudy,0,37.52,Winter
01-01-2022,S003,Rainy,0,70.94,Winter
01-01-2022,S003,Sunny,0,30.99,Winter
01-01-2022,S003,Cloudy,0,60.62,Winter
01-01-2022,S003,Sunny,0,21.93,Winter
01-01-2022,S003,Rainy,0,22.95,Winter
01-01-2022,S003,Sunny,0,64.59,Winter
01-01-2022,S003,Cloudy,0,101.42,Winter
01-01-2022,S003,Sunny,1,95.01,Winter
01-01-2022,S003,Sunny,0,61.92,Winter
01-01-2022,S003,Snowy,0,25.93,Winter
01-01-2022,S003,Rainy,0,61.51,Winter
01-01-2022,S003,Rainy,0,11.28,Winter
01-01-2022,S003,Sunny,1,94.29,Winter
01-01-2022,S003,Cloudy,1,43.15,Winter
01-01-2022,S003,Rainy,0,50.47,Winter
01-01-2022,S003,Rainy,0,49.3,Winter
01-01-2022,S003,Rainy,1,82.69,Winter
01-01-2022,S003,Sunny,0,81.22,Winter
01-01-2022,S003,Rainy,0,83.67,Winter
01-01-2022,S003,Snowy,0,42.86,Winter
01-01-2022,S003,Cloudy,0,87.49,Winter
01-01-2022,S003,Sunny,0,87.25,Winter
01-01-2022,S003,Snowy,0,65.39,Winter
01-01-2022,S003,Snowy,1,64.63,Winter
01-01-2022,S003,Rainy,0,75.3,Winter
01-01-2022,S004,Cloudy,0,27.17,Winter
01-01-2022,S004,Rainy,0,49.55,Winter
01-01-2022,S004,Rainy,0,83.47,Winter
01-01-2022,S004,Cloudy,0,14.55,Winter
01-01-2022,S004,Snowy,0,46.8,Winter
01-01-2022,S004,Cloudy,0,72.43,Winter
01-01-2022,S004,Cloudy,0,26.8,Winter
01-01-2022,S004,Cloudy,0,43.53,Winter
01-01-2022,S004,Sunny,0,41.95,Winter
01-01-2022,S004,Snowy,1,54.91,Winter
01-01-2022,S004,Sunny,0,81.98,Winter
01-01-2022,S004,Snowy,0,31.09,Winter
01-01-2022,S004,Cloudy,0,84.52,Winter
01-01-2022,S004,Rainy,0,73.13,Winter
01-01-2022,S004,Sunny,0,99.56,Winter
01-01-2022,S004,Snowy,0,99.98,Winter
01-01-2022,S004,Rainy,0,65.89,Winter
01-01-2022,S004,Rainy,0,80.63,Winter
01-01-2022,S004,Sunny,0,26.7,Winter
01-01-2022,S004,Rainy,0,33.47,Winter
01-01-2022,S004,Sunny,0,94.63,Winter
01-01-2022,S004,Rainy,0,78.48,Winter
01-01-2022,S004,Cloudy,1,64.91,Winter
01-01-2022,S004,Rainy,0,37.88,Winter
01-01-2022,S004,Rainy,0,69.13,Winter
01-01-2022,S004,Sunny,0,58.61,Winter
01-01-2022,S004,Rainy,0,71.36,Winter
01-01-2022,S004,Rainy,1,66.88,Winter
01-01-2022,S004,Snowy,0,24.26,Winter
01-01-2022,S004,Sunny,0,46.59,Winter
01-01-2022,S005,Rainy,0,47.02,Winter
01-01-2022,S005,Rainy,0,89.09,Winter
01-01-2022,S005,Rainy,0,26.23,Winter
01-01-2022,S005,Snowy,0,23.07,Winter
01-01-2022,S005,Rainy,0,61.03,Winter
01-01-2022,S005,Rainy,0,45.89,Winter
01-01-2022,S005,Rainy,0,21.58,Winter
01-01-2022,S005,Rainy,0,88.74,Winter
01-01-2022,S005,Rainy,0,30.35,Winter
01-01-2022,S005,Sunny,0,10.9,Winter
01-01-2022,S005,Cloudy,0,82.78,Winter
01-01-2022,S005,Snowy,0,83.54,Winter
01-01-2022,S005,Snowy,0,79.36,Winter
01-01-2022,S005,Rainy,0,74.06,Winter
01-01-2022,S005,Cloudy,0,56.11,Winter
01-01-2022,S005,Snowy,0,85.8,Winter
01-01-2022,S005,Cloudy,0,76.67,Winter
01-01-2022,S005,Rainy,0,64.4,Winter
01-01-2022,S005,Snowy,0,16.11,Winter
01-01-2022,S005,Snowy,0,78.52,Winter
01-01-2022,S005,Cloudy,0,53.96,Winter
01-01-2022,S005,Snowy,0,72.6,Winter
01-01-2022,S005,Snowy,0,49.93,Winter
01-01-2022,S005,Sunny,0,48.84,Winter
01-01-2022,S005,Snowy,1,62.36,Winter
01-01-2022,S005,Cloudy,0,62.71,Winter
01-01-2022,S005,Sunny,0,60,Winter
01-01-2022,S005,Snowy,0,81.38,Winter
01-01-2022,S005,Snowy,0,63.69,Winter
01-01-2022,S005,Sunny,1,14.92,Winter
02-01-2022,S001,Snowy,0,22.42,Winter
02-01-2022,S001,Cloudy,0,15.02,Winter
02-01-2022,S001,Rainy,0,53.66,Winter
02-01-2022,S001,Snowy,0,106.12,Winter
02-01-2022,S001,Snowy,0,13.52,Winter
02-01-2022,S001,Sunny,0,51.07,Winter
02-01-2022,S001,Snowy,1,77.96,Winter
02-01-2022,S001,Rainy,0,45.22,Winter
02-01-2022,S001,Sunny,1,47.4,Winter
02-01-2022,S001,Snowy,0,65.16,Winter
02-01-2022,S001,Sunny,0,98.12,Winter
02-01-2022,S001,Sunny,0,30.65,Winter
02-01-2022,S001,Rainy,0,95.32,Winter
02-01-2022,S001,Snowy,0,27.16,Winter
02-01-2022,S001,Sunny,0,18.87,Winter
02-01-2022,S001,Sunny,1,14.77,Winter
02-01-2022,S001,Rainy,1,12.62,Winter
02-01-2022,S001,Snowy,0,22.04,Winter
02-01-2022,S001,Cloudy,0,25.47,Winter
02-01-2022,S001,Rainy,1,25.43,Winter
02-01-2022,S001,Rainy,0,9.93,Winter
02-01-2022,S001,Sunny,0,60.33,Winter
02-01-2022,S001,Rainy,0,87.42,Winter
02-01-2022,S001,Rainy,0,78.37,Winter
02-01-2022,S001,Rainy,0,23.46,Winter
02-01-2022,S001,Snowy,0,56.6,Winter
02-01-2022,S001,Cloudy,0,75.29,Winter
02-01-2022,S001,Sunny,0,61.41,Winter
02-01-2022,S001,Snowy,0,63.71,Winter
02-01-2022,S001,Cloudy,0,15,Winter
02-01-2022,S002,Snowy,0,82.06,Winter
02-01-2022,S002,Snowy,0,82.3,Winter
02-01-2022,S002,Cloudy,0,43.42,Winter
02-01-2022,S002,Sunny,0,64.47,Winter
02-01-2022,S002,Sunny,0,16.24,Winter
02-01-2022,S002,Snowy,0,52.35,Winter
02-01-2022,S002,Snowy,0,53.63,Winter
02-01-2022,S002,Snowy,0,18.24,Winter
02-01-2022,S002,Cloudy,0,50.01,Winter
02-01-2022,S002,Cloudy,0,13.96,Winter
02-01-2022,S002,Snowy,0,37.21,Winter
02-01-2022,S002,Sunny,0,48.39,Winter
02-01-2022,S002,Snowy,0,83.74,Winter
02-01-2022,S002,Rainy,0,103.51,Winter
02-01-2022,S002,Cloudy,0,65.42,Winter
02-01-2022,S002,Rainy,0,97.78,Winter
02-01-2022,S002,Rainy,0,22.7,Winter
02-01-2022,S002,Sunny,0,17.31,Winter
02-01-2022,S002,Rainy,0,28.44,Winter
02-01-2022,S002,Sunny,0,54.23,Winter
02-01-2022,S002,Rainy,0,62.48,Winter
02-01-2022,S002,Cloudy,0,17.97,Winter
02-01-2022,S002,Rainy,0,29.68,Winter
02-01-2022,S002,Cloudy,0,73.17,Winter
02-01-2022,S002,Rainy,0,81.65,Winter
02-01-2022,S002,Snowy,0,60.15,Winter
02-01-2022,S002,Cloudy,0,52.68,Winter
02-01-2022,S002,Sunny,0,39.64,Winter
02-01-2022,S002,Cloudy,0,109.3,Winter
02-01-2022,S002,Sunny,0,15.12,Winter
02-01-2022,S003,Sunny,0,54.24,Winter
02-01-2022,S003,Cloudy,0,66.8,Winter
02-01-2022,S003,Snowy,0,99.29,Winter
02-01-2022,S003,Rainy,0,22.31,Winter
02-01-2022,S003,Cloudy,0,66.91,Winter
02-01-2022,S003,Sunny,0,69.24,Winter
02-01-2022,S003,Sunny,0,36.65,Winter
02-01-2022,S003,Cloudy,0,90.4,Winter
02-01-2022,S003,Sunny,0,11.66,Winter
02-01-2022,S003,Sunny,1,45.58,Winter
02-01-2022,S003,Rainy,0,22.4,Winter
02-01-2022,S003,Cloudy,0,55,Winter
02-01-2022,S003,Rainy,0,75.79,Winter
02-01-2022,S003,Cloudy,0,83.71,Winter
02-01-2022,S003,Rainy,0,42.93,Winter
02-01-2022,S003,Sunny,0,72.11,Winter
02-01-2022,S003,Rainy,1,76.11,Winter
02-01-2022,S003,Sunny,0,69.53,Winter
02-01-2022,S003,Sunny,0,54.77,Winter
02-01-2022,S003,Sunny,0,84.54,Winter
02-01-2022,S003,Cloudy,1,70.88,Winter
02-01-2022,S003,Snowy,0,46.31,Winter
02-01-2022,S003,Rainy,0,16.88,Winter
02-01-2022,S003,Snowy,0,83.87,Winter
02-01-2022,S003,Rainy,0,33.54,Winter
02-01-2022,S003,Sunny,1,57.03,Winter
02-01-2022,S003,Sunny,0,90.12,Winter
02-01-2022,S003,Rainy,0,65.14,Winter
02-01-2022,S003,Snowy,0,80.6,Winter
02-01-2022,S003,Cloudy,0,12.31,Winter
02-01-2022,S004,Sunny,0,48.05,Winter
02-01-2022,S004,Cloudy,0,30.6,Winter
02-01-2022,S004,Rainy,0,57.17,Winter
02-01-2022,S004,Rainy,0,36.66,Winter
02-01-2022,S004,Cloudy,0,101.06,Winter
02-01-2022,S004,Sunny,0,49.86,Winter
02-01-2022,S004,Snowy,0,27.28,Winter
02-01-2022,S004,Rainy,0,49.12,Winter
02-01-2022,S004,Sunny,0,15.76,Winter
02-01-2022,S004,Rainy,0,64.79,Winter
02-01-2022,S004,Cloudy,1,90.78,Winter
02-01-2022,S004,Snowy,0,27.9,Winter
02-01-2022,S004,Rainy,0,64.95,Winter
02-01-2022,S004,Sunny,0,91.18,Winter
02-01-2022,S004,Snowy,0,54.7,Winter
02-01-2022,S004,Cloudy,0,63.3,Winter
02-01-2022,S004,Cloudy,1,19.26,Winter
02-01-2022,S004,Cloudy,0,51.32,Winter
02-01-2022,S004,Cloudy,1,23.73,Winter
02-01-2022,S004,Cloudy,0,64.22,Winter
02-01-2022,S004,Snowy,0,13.29,Winter
02-01-2022,S004,Sunny,0,90.51,Winter
02-01-2022,S004,Rainy,0,46.55,Winter
02-01-2022,S004,Sunny,0,93.23,Winter
02-01-2022,S004,Snowy,0,47.44,Winter
02-01-2022,S004,Cloudy,1,62.93,Winter
02-01-2022,S004,Snowy,0,21.01,Winter
02-01-2022,S004,Sunny,0,32.06,Winter
02-01-2022,S004,Rainy,1,17.92,Winter
02-01-2022,S004,Cloudy,1,71.25,Winter
02-01-2022,S005,Rainy,0,22.04,Winter
02-01-2022,S005,Rainy,0,97.69,Winter
02-01-2022,S005,Rainy,0,17.96,Winter
02-01-2022,S005,Snowy,0,61.1,Winter
02-01-2022,S005,Rainy,1,73.11,Winter
02-01-2022,S005,Snowy,0,67.2,Winter
02-01-2022,S005,Sunny,0,70.41,Winter
02-01-2022,S005,Snowy,0,41.74,Winter
02-01-2022,S005,Rainy,1,32.14,Winter
02-01-2022,S005,Cloudy,1,26.28,Winter
02-01-2022,S005,Rainy,0,97.85,Winter
02-01-2022,S005,Rainy,0,15.48,Winter
02-01-2022,S005,Rainy,0,12.86,Winter
02-01-2022,S005,Snowy,1,26.5,Winter
02-01-2022,S005,Snowy,0,49.86,Winter
02-01-2022,S005,Snowy,0,14.63,Winter
02-01-2022,S005,Cloudy,0,37.67,Winter
02-01-2022,S005,Cloudy,0,13.94,Winter
02-01-2022,S005,Rainy,0,98.75,Winter
02-01-2022,S005,Snowy,0,42.8,Winter
02-01-2022,S005,Rainy,1,40.81,Winter
02-01-2022,S005,Rainy,0,91.2,Winter
02-01-2022,S005,Rainy,0,58.56,Winter
02-01-2022,S005,Sunny,0,62.57,Winter
02-01-2022,S005,Snowy,0,20.96,Winter
02-01-2022,S005,Snowy,0,44.59,Winter
02-01-2022,S005,Sunny,0,98.53,Winter
02-01-2022,S005,Cloudy,0,92.23,Winter
02-01-2022,S005,Rainy,0,33.95,Winter
02-01-2022,S005,Sunny,0,35.4,Winter
03-01-2022,S001,Rainy,1,47,Winter
03-01-2022,S001,Rainy,0,95.52,Winter
03-01-2022,S001,Sunny,0,11.11,Winter
03-01-2022,S001,Snowy,0,23.09,Winter
03-01-2022,S001,Cloudy,0,40.62,Winter
03-01-2022,S001,Rainy,0,82.68,Winter
03-01-2022,S001,Snowy,0,60.17,Winter
03-01-2022,S001,Cloudy,0,77.12,Winter
03-01-2022,S001,Cloudy,0,51.07,Winter
03-01-2022,S001,Snowy,0,13.6,Winter
03-01-2022,S001,Cloudy,1,52.29,Winter
03-01-2022,S001,Cloudy,0,91.63,Winter
03-01-2022,S001,Sunny,0,55.03,Winter
03-01-2022,S001,Cloudy,0,25.36,Winter
03-01-2022,S001,Sunny,0,24.77,Winter
03-01-2022,S001,Rainy,0,23.31,Winter
03-01-2022,S001,Rainy,0,102.55,Winter
03-01-2022,S001,Sunny,0,68.66,Winter
03-01-2022,S001,Sunny,0,16.82,Winter
03-01-2022,S001,Snowy,0,75.18,Winter
03-01-2022,S001,Cloudy,0,56.86,Winter
03-01-2022,S001,Snowy,0,82.71,Winter
03-01-2022,S001,Sunny,1,76.94,Winter
03-01-2022,S001,Cloudy,1,37.16,Winter
03-01-2022,S001,Sunny,0,61.1,Winter
03-01-2022,S001,Cloudy,1,25.34,Winter
03-01-2022,S001,Cloudy,0,50.16,Winter
03-01-2022,S001,Sunny,1,41.76,Winter
03-01-2022,S001,Sunny,0,21.26,Winter
03-01-2022,S001,Rainy,0,54.17,Winter
03-01-2022,S002,Cloudy,0,10.24,Winter
03-01-2022,S002,Cloudy,0,47.32,Winter
03-01-2022,S002,Cloudy,0,17.4,Winter
03-01-2022,S002,Sunny,1,24.5,Winter
03-01-2022,S002,Cloudy,0,53.06,Winter
03-01-2022,S002,Rainy,0,13.45,Winter
03-01-2022,S002,Snowy,0,65.32,Winter
03-01-2022,S002,Snowy,1,28.29,Winter
03-01-2022,S002,Sunny,0,57.69,Winter
03-01-2022,S002,Sunny,1,38.93,Winter
03-01-2022,S002,Rainy,0,11.67,Winter
03-01-2022,S002,Rainy,0,39.21,Winter
03-01-2022,S002,Sunny,0,13.11,Winter
03-01-2022,S002,Rainy,1,79.29,Winter
03-01-2022,S002,Cloudy,0,18.71,Winter
03-01-2022,S002,Cloudy,0,32.58,Winter
03-01-2022,S002,Snowy,0,59.15,Winter
03-01-2022,S002,Cloudy,0,42.12,Winter
03-01-2022,S002,Rainy,0,56.99,Winter
03-01-2022,S002,Snowy,0,11.4,Winter
03-01-2022,S002,Snowy,0,103.84,Winter
03-01-2022,S002,Rainy,1,65.42,Winter
03-01-2022,S002,Sunny,0,31.68,Winter
03-01-2022,S002,Rainy,0,76.61,Winter
03-01-2022,S002,Cloudy,0,66.35,Winter
03-01-2022,S002,Rainy,0,58.82,Winter
03-01-2022,S002,Rainy,0,18.13,Winter
03-01-2022,S002,Rainy,0,85.21,Winter
03-01-2022,S002,Cloudy,0,20.13,Winter
03-01-2022,S002,Snowy,0,82.1,Winter
03-01-2022,S003,Snowy,0,12.55,Winter
03-01-2022,S003,Sunny,0,20.59,Winter
03-01-2022,S003,Cloudy,0,35.65,Winter
03-01-2022,S003,Cloudy,0,37.87,Winter
03-01-2022,S003,Sunny,0,10.62,Winter
03-01-2022,S003,Rainy,0,41.28,Winter
03-01-2022,S003,Snowy,1,31.87,Winter
03-01-2022,S003,Cloudy,0,34.96,Winter
03-01-2022,S003,Cloudy,0,76.54,Winter
03-01-2022,S003,Sunny,1,77.61,Winter
03-01-2022,S003,Rainy,1,80.1,Winter
03-01-2022,S003,Cloudy,0,15.9,Winter
03-01-2022,S003,Snowy,0,97.37,Winter
03-01-2022,S003,Snowy,0,62.84,Winter
03-01-2022,S003,Sunny,0,52.91,Winter
03-01-2022,S003,Cloudy,1,9.88,Winter
03-01-2022,S003,Snowy,0,88.04,Winter
03-01-2022,S003,Rainy,0,98.81,Winter
03-01-2022,S003,Snowy,0,44.49,Winter
03-01-2022,S003,Rainy,1,28.36,Winter
03-01-2022,S003,Snowy,0,21.84,Winter
03-01-2022,S003,Snowy,0,61.21,Winter
03-01-2022,S003,Rainy,0,29.63,Winter
03-01-2022,S003,Cloudy,1,91.54,Winter
03-01-2022,S003,Cloudy,0,95.73,Winter
03-01-2022,S003,Cloudy,0,57.55,Winter
03-01-2022,S003,Cloudy,0,28.44,Winter
03-01-2022,S003,Cloudy,0,68.49,Winter
03-01-2022,S003,Cloudy,0,18.11,Winter
03-01-2022,S003,Cloudy,0,48.83,Winter
03-01-2022,S004,Sunny,0,53.2,Winter
03-01-2022,S004,Snowy,0,68.9,Winter
03-01-2022,S004,Cloudy,0,31.53,Winter
03-01-2022,S004,Rainy,0,86.22,Winter
03-01-2022,S004,Snowy,0,48.92,Winter
03-01-2022,S004,Snowy,0,72.1,Winter
03-01-2022,S004,Rainy,0,92.64,Winter
03-01-2022,S004,Snowy,0,59.88,Winter
03-01-2022,S004,Sunny,1,78.38,Winter
03-01-2022,S004,Sunny,0,89.79,Winter
03-01-2022,S004,Cloudy,0,94.14,Winter
03-01-2022,S004,Rainy,0,45.23,Winter
03-01-2022,S004,Snowy,0,27.74,Winter
03-01-2022,S004,Snowy,0,30.06,Winter
03-01-2022,S004,Sunny,0,87.64,Winter
03-01-2022,S004,Snowy,0,30.99,Winter
03-01-2022,S004,Cloudy,0,11.25,Winter
03-01-2022,S004,Cloudy,0,46.83,Winter
03-01-2022,S004,Sunny,0,10.23,Winter
03-01-2022,S004,Sunny,1,18.5,Winter
03-01-2022,S004,Sunny,0,27.38,Winter
03-01-2022,S004,Sunny,1,69.25,Winter
03-01-2022,S004,Snowy,0,11.34,Winter
03-01-2022,S004,Cloudy,0,20.26,Winter
03-01-2022,S004,Sunny,0,82.73,Winter
03-01-2022,S004,Snowy,0,21.77,Winter
03-01-2022,S004,Sunny,0,91.5,Winter
03-01-2022,S004,Cloudy,0,31.94,Winter
03-01-2022,S004,Cloudy,0,88.99,Winter
03-01-2022,S004,Rainy,0,34.27,Winter
03-01-2022,S005,Sunny,0,89.22,Winter
03-01-2022,S005,Cloudy,0,81.28,Winter
03-01-2022,S005,Sunny,0,74.55,Winter
03-01-2022,S005,Rainy,0,22.47,Winter
03-01-2022,S005,Sunny,1,23.87,Winter
03-01-2022,S005,Snowy,0,79.3,Winter
03-01-2022,S005,Snowy,0,41.94,Winter
03-01-2022,S005,Snowy,0,79.55,Winter
03-01-2022,S005,Snowy,0,98.32,Winter
03-01-2022,S005,Rainy,0,78.9,Winter
03-01-2022,S005,Cloudy,0,67.2,Winter
03-01-2022,S005,Sunny,0,27.48,Winter
03-01-2022,S005,Rainy,1,75.24,Winter
03-01-2022,S005,Sunny,0,47.35,Winter
03-01-2022,S005,Sunny,0,26.85,Winter
03-01-2022,S005,Rainy,0,101.05,Winter
03-01-2022,S005,Cloudy,0,10.91,Winter
03-01-2022,S005,Rainy,1,34.47,Winter
03-01-2022,S005,Cloudy,1,55.25,Winter
03-01-2022,S005,Cloudy,0,33.55,Winter
03-01-2022,S005,Sunny,0,47.14,Winter
03-01-2022,S005,Cloudy,0,95.77,Winter
03-01-2022,S005,Snowy,0,72.94,Winter
03-01-2022,S005,Snowy,0,49.02,Winter
03-01-2022,S005,Snowy,1,42.72,Winter
03-01-2022,S005,Sunny,1,53.26,Winter
03-01-2022,S005,Snowy,0,37.27,Winter
03-01-2022,S005,Sunny,0,46.16,Winter
03-01-2022,S005,Snowy,0,26.46,Winter
03-01-2022,S005,Rainy,0,97.56,Winter
04-01-2022,S001,Snowy,1,52.97,Winter
04-01-2022,S001,Cloudy,1,55.62,Winter
04-01-2022,S001,Rainy,0,36.04,Winter
04-01-2022,S001,Snowy,0,75.72,Winter
04-01-2022,S001,Snowy,0,93.14,Winter
04-01-2022,S001,Cloudy,1,33.46,Winter
04-01-2022,S001,Rainy,0,67.07,Winter
04-01-2022,S001,Sunny,1,32.71,Winter
04-01-2022,S001,Sunny,0,64.92,Winter
04-01-2022,S001,Snowy,0,56.73,Winter
04-01-2022,S001,Sunny,0,57.82,Winter
04-01-2022,S001,Rainy,0,32.31,Winter
04-01-2022,S001,Snowy,0,29.96,Winter
04-01-2022,S001,Cloudy,0,88.28,Winter
04-01-2022,S001,Snowy,0,42.92,Winter
04-01-2022,S001,Cloudy,1,57.05,Winter
04-01-2022,S001,Cloudy,0,51.13,Winter
04-01-2022,S001,Snowy,1,79.56,Winter
04-01-2022,S001,Rainy,1,61.87,Winter
04-01-2022,S001,Rainy,0,14.95,Winter
04-01-2022,S001,Cloudy,0,42.76,Winter
04-01-2022,S001,Sunny,0,78.04,Winter
04-01-2022,S001,Rainy,1,61.53,Winter
04-01-2022,S001,Rainy,0,79.85,Winter
04-01-2022,S001,Sunny,0,71.51,Winter
04-01-2022,S001,Cloudy,0,97.34,Winter
04-01-2022,S001,Snowy,0,97.28,Winter
04-01-2022,S001,Cloudy,0,36.45,Winter
04-01-2022,S001,Rainy,1,82.38,Winter
04-01-2022,S001,Rainy,0,42.95,Winter
04-01-2022,S002,Sunny,0,64.15,Winter
04-01-2022,S002,Cloudy,0,29.22,Winter
04-01-2022,S002,Snowy,0,46.96,Winter
04-01-2022,S002,Rainy,0,56.3,Winter
04-01-2022,S002,Sunny,0,31.34,Winter
04-01-2022,S002,Sunny,0,24.78,Winter
04-01-2022,S002,Cloudy,1,39.56,Winter
04-01-2022,S002,Cloudy,0,59.91,Winter
04-01-2022,S002,Snowy,0,14.55,Winter
04-01-2022,S002,Cloudy,0,90.32,Winter
04-01-2022,S002,Sunny,0,68.63,Winter
04-01-2022,S002,Snowy,0,67.7,Winter
04-01-2022,S002,Cloudy,0,18.63,Winter
04-01-2022,S002,Snowy,0,45.49,Winter
04-01-2022,S002,Sunny,1,88.73,Winter
04-01-2022,S002,Rainy,0,89.49,Winter
04-01-2022,S002,Sunny,0,30.69,Winter
04-01-2022,S002,Sunny,0,91.44,Winter
04-01-2022,S002,Sunny,0,42.66,Winter
04-01-2022,S002,Rainy,0,93.24,Winter
04-01-2022,S002,Cloudy,0,67.27,Winter
04-01-2022,S002,Cloudy,0,13.67,Winter
04-01-2022,S002,Cloudy,0,72.53,Winter
04-01-2022,S002,Cloudy,0,75.3,Winter
04-01-2022,S002,Snowy,0,29.91,Winter
04-01-2022,S002,Snowy,0,57.52,Winter
04-01-2022,S002,Cloudy,0,61.13,Winter
04-01-2022,S002,Sunny,0,35.11,Winter
04-01-2022,S002,Cloudy,0,30.2,Winter
04-01-2022,S002,Rainy,0,41.67,Winter
04-01-2022,S003,Rainy,0,50.17,Winter
04-01-2022,S003,Cloudy,0,77.83,Winter
04-01-2022,S003,Rainy,0,58.91,Winter
04-01-2022,S003,Snowy,0,78.64,Winter
04-01-2022,S003,Cloudy,1,34.76,Winter
04-01-2022,S003,Cloudy,0,38.3,Winter
04-01-2022,S003,Cloudy,0,61.87,Winter
04-01-2022,S003,Snowy,0,50.72,Winter
04-01-2022,S003,Sunny,0,84.37,Winter
04-01-2022,S003,Snowy,0,19.68,Winter
04-01-2022,S003,Rainy,0,36.88,Winter
04-01-2022,S003,Cloudy,0,57.09,Winter
04-01-2022,S003,Cloudy,1,61.91,Winter
04-01-2022,S003,Snowy,0,35.38,Winter
04-01-2022,S003,Rainy,0,36.2,Winter
04-01-2022,S003,Sunny,0,62.68,Winter
04-01-2022,S003,Snowy,0,40.35,Winter
04-01-2022,S003,Sunny,0,13.81,Winter
04-01-2022,S003,Cloudy,0,74.79,Winter
04-01-2022,S003,Rainy,0,64.37,Winter
04-01-2022,S003,Cloudy,0,22.11,Winter
04-01-2022,S003,Snowy,0,14.73,Winter
04-01-2022,S003,Rainy,0,88.43,Winter
04-01-2022,S003,Snowy,1,60.45,Winter
04-01-2022,S003,Cloudy,0,76.54,Winter
04-01-2022,S003,Snowy,0,76.76,Winter
04-01-2022,S003,Snowy,1,75.21,Winter
04-01-2022,S003,Snowy,0,25.96,Winter
04-01-2022,S003,Sunny,0,54.3,Winter
04-01-2022,S003,Rainy,1,40.38,Winter
04-01-2022,S004,Snowy,0,10.01,Winter
04-01-2022,S004,Snowy,0,35.66,Winter
04-01-2022,S004,Cloudy,0,21.19,Winter
04-01-2022,S004,Snowy,0,90.64,Winter
04-01-2022,S004,Cloudy,0,83.08,Winter
04-01-2022,S004,Cloudy,0,40.11,Winter
04-01-2022,S004,Snowy,0,18.57,Winter
04-01-2022,S004,Cloudy,1,77.32,Winter
04-01-2022,S004,Sunny,0,54.47,Winter
04-01-2022,S004,Sunny,1,53.43,Winter
04-01-2022,S004,Snowy,0,79.95,Winter
